pr_level1_key,pr_dpcode,iprcode,pack_size,brcode,parqty,sh_daysmin,sd_t_qty_30,on_promotion,Parqty_Cal,Parqty_Adj
2,22,122184,8,1019,8,360,21.0,1.25,26.0,26
1,3,226319,10,1011,6,589,2.0,0.0,2.0,6
1,8,225261,12,1033,6,649,4.0,1.25,5.0,8
1,20,250632,6,1048,6,365,8.0,1.25,10.0,10
2,28,211254,8,1038,4,40,0.0,0.0,0.0,3
2,27,228283,1,1021,5,150,6.0,0.0,6.0,6
1,20,235120,15,1036,4,121,0.0,0.0,0.0,6
1,3,114876,24,1036,12,565,8.0,0.0,8.0,8
2,23,213155,12,1038,11,97,24.0,0.0,24.0,24
1,1,238915,6,1051,3,1095,0.0,0.0,0.0,6
1,19,220051,12,1020,6,309,1.0,0.0,1.0,6
1,28,211492,6,1050,4,180,1.0,0.0,1.0,6
1,2,227569,36,1021,26,161,16.0,0.0,16.0,16
2,22,250498,10,1044,13,540,11.0,1.25,14.0,14
1,3,44656,20,1034,54,255,38.0,1.25,48.0,48
2,22,259172,16,1033,8,183,1.0,0.0,1.0,3
1,8,245142,12,1042,4,292,0.0,1.25,0.0,8
1,2,241950,12,1000,15,365,6.0,0.0,6.0,6
1,9,239414,12,1047,4,1095,0.0,0.0,0.0,6
1,1,56073,1,1052,3,329,0.0,0.0,0.0,6
1,19,248731,36,1046,12,295,3.0,0.0,3.0,6
1,2,258611,24,1014,6,180,5.0,1.25,6.0,8
1,5,5376,24,1000,4,180,8.0,0.0,8.0,8
1,28,61910,6,1024,4,180,2.0,0.0,2.0,6
1,2,112530,6,1033,8,346,5.0,1.25,6.0,8
1,2,247281,6,1034,14,295,2.0,0.0,2.0,6
1,3,44466,24,1044,12,327,0.0,0.0,0.0,6
1,8,224067,24,1030,12,324,10.0,0.0,10.0,10
2,23,168937,12,1038,11,186,29.0,1.25,36.0,36
1,9,258195,12,1011,6,660,6.0,1.25,8.0,8
1,3,152480,10,1048,10,315,6.0,0.0,6.0,6
2,28,192650,12,1011,14,75,32.0,0.0,21.0,21
1,6,6598,24,1000,7,312,17.0,0.0,17.0,17
1,9,252662,12,1030,6,756,5.0,1.25,6.0,8
2,23,109929,1,1032,11,21,88.0,0.0,29.0,29
1,2,236581,12,1052,2,329,4.0,1.25,5.0,8
1,1,257201,1,1048,3,730,2.0,0.0,1.0,6
1,1,221162,1,1051,3,365,0.0,0.0,0.0,6
1,2,240050,50,1030,10,180,5.0,0.0,5.0,6
1,20,201421,9,1046,6,290,9.0,0.0,9.0,9
1,10,242856,24,1052,6,864,6.0,1.25,8.0,8
1,2,181748,24,1042,20,302,9.0,0.0,9.0,9
1,9,247545,12,1050,4,1095,0.0,0.0,0.0,6
1,4,113066,24,1050,24,242,14.0,1.25,18.0,18
1,9,248603,12,1019,6,864,8.0,0.0,8.0,8
1,8,233232,12,1042,6,344,3.0,0.0,3.0,6
1,8,105680,12,1006,8,529,10.0,0.0,10.0,10
1,10,153342,6,1038,4,658,2.0,0.0,2.0,6
1,5,212664,12,1051,3,720,0.0,1.25,0.0,8
1,1,259212,1,1023,3,2190,0.0,0.0,0.0,6
1,8,72682,20,1016,7,296,7.0,1.25,9.0,9
1,1,243650,1,1041,3,1095,0.0,0.0,0.0,6
1,20,250434,12,1011,6,255,8.0,1.25,10.0,10
1,19,222038,15,1014,4,657,0.0,0.0,0.0,6
2,28,215168,14,1030,6,195,4.0,0.0,4.0,3
1,5,250019,12,1049,12,90,8.0,0.0,5.0,6
1,1,111207,1,1024,3,329,2.0,0.0,1.0,6
1,5,253252,18,1030,3,700,1.0,0.0,1.0,6
1,1,209261,6,1024,3,329,1.0,0.0,1.0,6
1,10,188208,12,1022,4,658,1.0,0.0,1.0,6
2,28,192636,20,1051,4,150,2.0,0.0,2.0,3
1,20,253871,8,1015,6,255,6.0,0.0,6.0,6
1,9,215676,12,1019,10,658,13.0,1.25,16.0,16
1,5,255876,6,1014,3,360,0.0,0.0,0.0,6
1,2,101832,22,1042,2,199,0.0,0.0,0.0,6
1,19,256623,6,1003,6,546,0.0,0.0,0.0,6
1,5,198723,24,1023,8,309,1.0,0.0,1.0,6
1,8,251277,12,1003,3,432,0.0,0.0,0.0,6
2,23,238003,1,1053,7,15,15.0,0.0,5.0,3
2,21,259079,1,1015,5,30,21.0,1.25,9.0,9
1,20,259461,24,1046,24,202,27.0,1.25,34.0,34
1,8,242193,12,1015,9,300,2.0,0.0,2.0,6
1,10,224913,12,1040,4,170,2.0,1.25,3.0,8
2,28,247777,12,1044,6,105,5.0,0.0,5.0,3
1,10,190948,14,1033,4,658,10.0,1.25,13.0,13
1,1,247935,1,1005,3,1825,0.0,0.0,0.0,6
1,2,232942,12,1042,2,313,1.0,1.25,1.0,8
1,9,232264,6,1011,16,730,13.0,0.0,13.0,13
2,20,99796,1,1026,7,36,5.0,0.0,2.0,3
1,1,1018,4,1040,3,360,4.0,0.0,3.0,6
1,28,209301,24,1049,6,380,4.0,0.0,4.0,6
2,22,227900,8,1044,3,160,2.0,0.0,2.0,3
2,23,231704,6,1048,3,60,8.0,0.0,5.0,3
1,3,221679,20,1041,36,270,31.0,1.25,39.0,39
2,23,37159,1,1015,5,162,17.0,1.25,21.0,21
1,2,252723,30,1046,6,252,3.0,0.0,3.0,6
1,9,256511,36,1040,4,2555,3.0,1.25,4.0,8
1,9,181457,8,1022,6,658,1.0,0.0,1.0,6
1,9,181457,8,1047,6,658,1.0,0.0,1.0,6
1,1,247753,24,1015,3,365,2.0,0.0,1.0,6
1,2,192022,20,1047,6,517,3.0,1.25,4.0,8
2,23,246094,1,1052,3,8,10.0,0.0,2.0,3
1,25,21520,12,1041,5,658,8.0,0.0,8.0,8
1,8,245642,24,1005,6,576,3.0,0.0,3.0,6
1,14,166798,12,1051,10,658,1.0,0.0,1.0,6
1,28,258531,12,1039,3,135,2.0,0.0,2.0,6
1,5,228180,18,1007,3,175,1.0,0.0,1.0,6
1,9,254670,12,1006,6,766,1.0,1.25,1.0,8
1,1,204967,1,1022,3,329,9.0,0.0,6.0,6
1,28,217808,16,1053,6,120,3.0,0.0,3.0,6
1,5,252474,4,1052,2,540,2.0,0.0,2.0,6
1,19,217185,12,1023,6,650,0.0,0.0,0.0,6
1,5,192137,12,1016,3,278,3.0,0.0,3.0,6
1,10,256291,6,1026,6,540,6.0,0.0,6.0,6
1,19,245243,12,1000,4,545,2.0,1.25,3.0,8
1,28,213613,6,1016,4,270,2.0,0.0,2.0,6
1,8,231657,12,1032,7,652,6.0,0.0,6.0,6
1,6,195749,48,1012,5,961,0.0,0.0,0.0,6
2,22,98703,24,1007,6,270,2.0,0.0,2.0,3
1,19,242903,12,1006,5,292,0.0,0.0,0.0,6
1,19,228931,1,1021,2,658,0.0,0.0,0.0,6
1,28,219414,12,1040,6,540,0.0,0.0,0.0,6
1,1,248163,24,1042,3,540,3.0,0.0,2.0,6
1,8,233216,12,1016,7,148,0.0,0.0,0.0,6
1,9,258201,24,1014,6,660,3.0,1.25,4.0,8
1,5,243124,10,1051,2,120,1.0,0.0,1.0,6
1,5,251987,24,1026,4,378,2.0,1.25,3.0,8
1,14,221826,6,1005,2,658,0.0,0.0,0.0,6
1,19,237059,12,1039,6,657,0.0,0.0,0.0,6
1,10,260196,9,1033,4,244,1.0,1.25,1.0,8
1,3,252136,32,1015,2,168,0.0,0.0,0.0,6
1,9,10101,24,1026,5,658,4.0,0.0,4.0,6
2,28,192645,8,1048,6,21,0.0,0.0,0.0,3
1,1,252371,1,1026,3,1000,0.0,0.0,0.0,6
1,2,245052,12,1039,2,256,1.0,0.0,1.0,6
1,10,63091,6,1020,15,658,4.0,0.0,4.0,6
1,5,242286,12,1038,6,210,0.0,0.0,0.0,6
1,1,207332,3,1046,80,328,74.0,0.0,49.0,49
1,14,60709,50,1026,60,657,53.0,0.0,53.0,53
1,2,250676,12,1026,6,300,1.0,0.0,1.0,6
1,2,248729,36,1048,17,90,4.0,0.0,3.0,6
1,8,202816,12,1006,4,652,1.0,0.0,1.0,6
1,28,209335,24,1014,4,230,1.0,0.0,1.0,6
1,2,237935,30,1000,8,292,16.0,0.0,16.0,16
1,19,237483,12,1041,6,471,0.0,0.0,0.0,6
1,28,209294,35,1039,4,1000,1.0,0.0,1.0,6
1,5,72737,12,1041,3,532,4.0,0.0,4.0,6
2,23,142060,1,1023,11,23,44.0,0.0,15.0,15
2,19,258961,4,1006,4,30,1.0,0.0,0.0,3
2,19,219486,1,1042,3,27,0.0,0.0,0.0,3
1,19,232317,30,1040,16,274,2.0,0.0,2.0,6
1,9,158786,6,1020,6,658,1.0,0.0,1.0,6
2,21,245041,10,1011,28,25,33.0,0.0,11.0,11
1,1,237130,20,1049,6,235,6.0,0.0,4.0,4
2,23,150326,6,1046,30,25,63.0,1.25,29.0,26
1,9,211104,72,1011,20,658,23.0,0.0,23.0,23
2,28,251914,12,1021,8,33,20.0,0.0,7.0,7
1,2,192018,20,1030,42,548,32.0,1.25,40.0,40
1,2,183199,36,1011,6,270,5.0,0.0,5.0,6
1,1,252371,1,1051,3,1000,1.0,0.0,1.0,6
1,2,126528,24,1003,13,191,1.0,1.25,1.0,8
1,20,245590,12,1049,6,300,5.0,0.0,5.0,6
1,5,252742,12,1021,12,864,7.0,1.25,9.0,9
2,21,33449,1,1047,3,245,0.0,0.0,0.0,3
1,1,259574,1,1044,3,1825,0.0,0.0,0.0,6
1,10,235524,6,1024,6,658,7.0,0.0,7.0,7
1,9,248600,8,1053,4,630,1.0,0.0,1.0,6
1,1,201364,1,1039,6,337,0.0,0.0,0.0,6
1,9,114604,24,1041,18,658,32.0,1.25,40.0,40
1,9,235925,12,1046,6,658,0.0,1.25,0.0,8
1,8,201931,12,1003,4,437,5.0,1.25,6.0,8
1,10,260185,12,1032,4,216,6.0,0.0,6.0,6
1,9,243821,12,1053,6,756,13.0,1.25,16.0,16
1,2,247862,24,1052,4,390,1.0,1.25,1.0,8
1,9,223543,12,1047,12,658,12.0,0.0,12.0,12
1,3,256230,15,1003,2,140,0.0,0.0,0.0,6
1,6,251768,12,1048,13,876,0.0,0.0,0.0,6
1,19,217255,24,1051,12,650,0.0,0.0,0.0,6
1,19,251673,12,1032,3,365,0.0,0.0,0.0,6
1,28,216828,4,1039,4,180,2.0,0.0,2.0,6
2,19,234967,12,1016,6,76,7.0,0.0,5.0,3
1,10,231695,12,1048,6,643,5.0,1.25,6.0,8
2,28,63851,12,1024,4,105,3.0,0.0,3.0,3
1,3,101211,24,1050,6,865,5.0,1.25,6.0,8
2,19,249324,10,1005,10,240,0.0,0.0,0.0,3
1,3,205149,15,1023,2,656,0.0,0.0,0.0,6
1,5,168104,18,1048,6,324,5.0,1.25,6.0,8
1,9,197750,6,1033,4,658,1.0,0.0,1.0,6
1,2,80059,48,1005,6,109,0.0,0.0,0.0,6
1,9,251932,6,1021,9,768,1.0,0.0,1.0,6
1,1,36708,6,1006,6,365,0.0,0.0,0.0,6
2,19,254086,1,1032,8,300,1.0,0.0,1.0,3
1,1,247019,1,1051,3,365,0.0,0.0,0.0,6
1,19,237484,12,1022,6,471,1.0,0.0,1.0,6
1,20,157316,24,1049,25,365,35.0,0.0,35.0,35
1,6,234086,12,1039,10,371,3.0,1.25,4.0,8
1,9,225751,24,1039,7,658,0.0,0.0,0.0,6
2,21,26456,1,1053,12,27,11.0,0.0,4.0,3
1,8,203311,12,1019,6,315,4.0,0.0,4.0,6
1,1,220436,4,1024,7,352,4.0,0.0,3.0,6
1,9,159973,6,1044,6,658,7.0,0.0,7.0,7
2,28,205372,6,1047,4,135,0.0,0.0,0.0,3
1,1,247933,1,1023,3,1825,1.0,0.0,1.0,6
1,9,215471,24,1023,4,658,0.0,0.0,0.0,6
1,1,57973,6,1047,3,360,1.0,0.0,1.0,6
2,21,27937,1,1032,6,24,5.0,0.0,2.0,3
1,1,238874,4,1019,16,305,19.33,0.0,13.0,13
1,5,250340,6,1041,10,90,3.0,0.0,2.0,6
2,23,38245,1,1047,12,14,33.0,0.0,8.0,8
2,21,256060,6,1040,3,4250,2.0,1.25,3.0,4
1,1,218548,1,1030,3,329,0.0,0.0,0.0,6
1,5,206917,12,1021,5,365,0.0,0.0,0.0,6
2,23,241045,24,1033,8,162,5.0,1.25,6.0,4
1,19,252621,12,1033,6,584,0.0,0.0,0.0,6
1,2,241170,12,1050,4,292,3.0,0.0,3.0,6
1,2,250676,12,1041,8,300,1.0,0.0,1.0,6
2,23,142060,1,1053,16,23,38.0,0.0,13.0,13
1,1,252563,6,1030,6,420,1.75,0.0,1.0,6
1,5,81030,12,1044,6,227,5.0,1.25,6.0,8
1,10,252749,4,1006,10,504,15.0,1.25,19.0,19
1,8,90344,12,1023,26,180,26.0,1.25,33.0,33
1,19,258639,24,1040,4,270,0.0,0.0,0.0,6
1,5,253780,15,1026,3,584,1.0,0.0,1.0,6
1,8,36726,12,1011,18,488,13.0,0.0,13.0,13
1,3,257432,12,1026,4,320,0.0,0.0,0.0,6
1,9,242403,96,1050,6,730,3.0,0.0,3.0,6
1,2,215372,8,1011,2,294,3.0,0.0,3.0,6
1,3,183540,36,1015,8,180,1.0,0.0,1.0,6
2,19,225073,1,1033,3,31,2.0,0.0,1.0,3
1,9,218366,12,1032,6,658,1.0,0.0,1.0,6
1,1,211654,6,1036,3,329,0.0,0.0,0.0,6
1,3,4507,12,1011,6,477,4.0,0.0,4.0,6
1,1,242747,1,1049,3,1095,4.0,0.0,3.0,6
1,19,230753,12,1052,4,876,0.0,0.0,0.0,6
1,2,239927,12,1041,6,189,8.0,0.0,8.0,8
1,10,194190,12,1014,8,658,6.0,0.0,6.0,6
1,5,5241,12,1034,3,365,0.0,1.25,0.0,8
2,23,246099,10,1030,13,90,9.0,1.25,8.0,8
1,8,258768,12,1032,4,120,7.0,0.0,7.0,7
1,5,251320,12,1021,24,100,25.0,0.0,25.0,25
1,3,83876,20,1014,38,255,41.0,1.25,51.0,51
1,2,235385,6,1038,9,268,7.0,0.0,7.0,7
1,8,249422,25,1020,6,288,0.0,0.0,0.0,6
2,28,90632,12,1005,6,105,9.0,0.0,9.0,9
1,28,209347,24,1000,30,450,42.0,0.0,42.0,42
1,5,224629,6,1003,4,318,2.0,0.0,2.0,6
1,1,228072,1,1015,3,356,0.0,0.0,0.0,6
2,22,208836,12,1024,2,730,0.0,0.0,0.0,3
1,4,142422,10,1034,10,408,6.0,0.0,6.0,6
1,9,237049,12,1049,12,657,15.0,1.25,19.0,19
1,5,241704,12,1049,6,180,1.0,0.0,1.0,6
1,19,234938,12,1036,6,1080,2.0,0.0,2.0,6
1,20,206741,24,1007,18,180,39.0,1.25,49.0,49
1,2,242180,14,1038,14,450,12.0,1.25,15.0,15
1,1,119849,1,1050,3,360,1.0,0.0,1.0,6
1,8,63913,25,1049,36,304,10.0,0.0,10.0,10
1,8,245851,8,1033,6,180,0.0,1.25,0.0,8
2,23,209572,1,1047,23,20,25.0,0.0,8.0,8
1,3,230634,12,1047,8,633,3.0,0.0,3.0,6
1,3,62012,60,1014,2,323,0.0,0.0,0.0,6
1,28,247211,6,1016,4,450,0.0,0.0,0.0,6
2,23,229590,12,1003,6,26,0.0,0.0,0.0,3
1,19,241894,12,1020,6,1095,0.0,0.0,0.0,6
1,19,243633,1,1050,2,365,0.0,0.0,0.0,6
1,8,229331,160,1019,23,325,28.0,0.0,28.0,28
1,19,251634,30,1052,15,540,2.0,0.0,2.0,6
1,9,251931,24,1007,6,768,1.0,0.0,1.0,6
1,5,259933,8,1007,3,150,3.0,0.0,3.0,6
2,21,229612,1,1023,15,60,10.0,0.0,7.0,7
1,5,228601,6,1012,4,365,1.0,0.0,1.0,6
2,28,214754,8,1026,4,195,1.0,0.0,1.0,3
1,20,224974,12,1053,24,247,7.0,0.0,7.0,7
1,1,248701,1,1021,3,365,0.0,0.0,0.0,6
1,19,217273,6,1021,6,657,0.0,0.0,0.0,6
1,2,256397,72,1021,18,240,25.0,0.0,25.0,25
1,1,254512,1,1030,3,365,0.0,0.0,0.0,6
1,1,258659,1,1015,3,1800,1.0,0.0,1.0,6
2,28,258220,12,1000,6,180,0.0,0.0,0.0,3
1,8,238548,12,1020,19,1000,1.0,0.0,1.0,6
2,28,211256,8,1039,4,35,0.0,0.0,0.0,3
1,28,216825,16,1023,4,90,0.0,0.0,0.0,6
1,6,255315,12,1050,12,360,28.0,0.0,28.0,28
1,8,251641,6,1049,6,90,2.0,0.0,1.0,6
1,19,257266,1,1042,3,365,0.0,0.0,0.0,6
2,19,174050,1,1005,20,344,6.0,0.0,6.0,6
1,4,243549,20,1007,4,1020,0.0,0.0,0.0,6
1,8,195893,24,1046,9,651,10.0,0.0,10.0,10
1,2,252717,12,1005,2,252,1.0,1.25,1.0,8
2,22,20595,12,1022,8,270,11.0,1.25,14.0,14
1,28,220143,9,1011,6,135,4.0,0.0,4.0,6
1,28,60358,6,1049,4,90,0.0,0.0,0.0,6
1,19,254718,12,1030,24,365,0.0,0.0,0.0,6
1,5,92842,12,1014,6,767,12.0,1.25,15.0,15
1,8,8325,12,1046,24,322,17.0,0.0,17.0,17
1,9,201461,24,1003,10,658,7.0,1.25,9.0,9
1,5,222132,6,1034,3,300,1.0,0.0,1.0,6
1,19,236040,40,1034,4,335,0.0,0.0,0.0,6
1,10,227967,24,1053,12,657,6.0,0.0,6.0,6
1,19,251527,20,1047,20,144,14.0,1.25,18.0,18
1,1,259016,6,1014,3,3600,4.0,0.0,3.0,6
2,19,258808,1,1012,3,135,1.0,1.25,1.0,4
2,23,259908,12,1047,5,120,2.0,0.0,2.0,3
1,4,7571,12,1024,7,633,0.0,0.0,0.0,6
1,11,257305,1,1000,2,1080,3.0,0.0,3.0,6
1,19,246290,6,1051,4,292,1.0,0.0,1.0,6
1,9,204090,12,1007,4,328,4.0,0.0,4.0,6
1,1,205560,1,1033,2,329,0.0,0.0,0.0,6
1,19,247058,1,1021,2,365,0.0,0.0,0.0,6
1,8,249401,24,1050,8,255,1.0,0.0,1.0,6
2,28,86972,12,1042,6,45,4.0,0.0,1.0,3
2,21,246235,1,1023,5,240,2.0,0.0,2.0,3
2,21,227615,1,1023,4,22,5.0,0.0,2.0,3
1,28,246354,18,1048,4,150,6.0,0.0,6.0,6
2,21,250415,15,1051,8,200,17.0,0.0,17.0,17
1,20,241312,24,1021,10,300,15.0,1.25,19.0,19
1,10,243337,6,1003,7,504,4.0,1.25,5.0,8
1,1,247938,1,1023,3,1825,0.0,0.0,0.0,6
1,2,226645,36,1015,12,270,9.0,0.0,9.0,9
1,19,244859,6,1053,6,730,2.0,0.0,2.0,6
1,5,210292,24,1042,3,324,2.0,0.0,2.0,6
1,5,168520,10,1048,9,222,13.0,0.0,13.0,13
1,28,100505,12,1016,28,120,29.0,0.0,29.0,29
1,10,11368,12,1051,6,658,0.0,0.0,0.0,6
1,2,242179,14,1041,4,450,2.0,1.25,3.0,8
1,5,251675,6,1034,6,292,2.0,0.0,2.0,6
1,3,107910,36,1052,26,148,26.0,0.0,26.0,26
1,2,226850,12,1030,2,301,0.0,0.0,0.0,6
1,28,170044,12,1048,4,270,2.0,0.0,2.0,6
2,18,216577,10,1034,6,102,2.0,0.0,2.0,3
1,9,243310,12,1034,6,540,1.0,0.0,1.0,6
1,28,244810,15,1011,10,365,3.0,0.0,3.0,6
1,28,218972,12,1024,4,182,0.0,0.0,0.0,6
1,19,257208,6,1051,12,290,2.0,0.0,2.0,6
1,5,246830,12,1007,3,430,4.0,0.0,4.0,6
1,10,238044,6,1003,4,504,4.0,1.25,5.0,8
2,22,252800,12,1049,8,320,1.0,1.25,1.0,4
1,10,257711,12,1044,12,584,2.0,0.0,2.0,6
1,9,237252,2,1046,4,657,2.0,1.25,3.0,8
1,10,192130,8,1033,4,658,1.0,0.0,1.0,6
1,10,225742,12,1046,4,658,2.0,0.0,2.0,6
1,1,214994,1,1015,6,365,2.0,0.0,1.0,6
1,2,122608,18,1042,6,175,3.0,0.0,3.0,6
1,8,243151,12,1036,6,584,0.0,0.0,0.0,6
1,19,260199,6,1039,6,420,6.0,0.0,6.0,6
1,1,202316,1,1014,3,365,5.0,0.0,3.0,6
1,2,250290,36,1053,24,360,2.0,1.25,3.0,8
1,1,248705,1,1032,3,365,1.0,0.0,1.0,6
1,2,233959,20,1040,2,270,0.0,0.0,0.0,6
1,1,254187,1,1003,3,365,2.0,0.0,1.0,6
1,20,213735,8,1012,24,304,9.0,1.25,11.0,11
1,5,240980,6,1023,4,365,1.0,0.0,1.0,6
1,2,46224,18,1020,6,300,10.0,0.0,10.0,10
2,23,207293,1,1014,3,162,1.0,0.0,1.0,3
1,28,260107,10,1030,6,250,8.0,0.0,8.0,8
1,8,247998,25,1011,10,584,12.0,0.0,12.0,12
1,2,223105,12,1026,5,323,4.0,1.25,5.0,8
1,2,246130,16,1005,8,584,7.0,1.25,9.0,9
1,9,102833,6,1022,4,658,1.0,0.0,1.0,6
