pr_dpcode,brcode,parqty,sh_daysmin,sd_t_qty_30,on_promotion,Parqty_Cal,Parqty_Adj
2,0.0,2,358,0.0,0.0,0.0,6
19,4.0,6,365,4.0,0.0,4.0,6
2,5.0,2,252,5.0,0.0,5.0,6
8,0.0,4,400,0.0,1.25,0.0,8
19,0.0,6,1460,0.0,0.0,0.0,6
5,1.0,10,396,1.0,0.0,1.0,6
1,0.0,3,365,0.0,0.0,0.0,6
19,0.0,5,309,0.0,0.0,0.0,6
19,2.0,6,658,2.0,0.0,2.0,6
8,10.0,8,336,10.0,0.0,10.0,10
23,0.0,5,70,0.0,0.0,0.0,3
28,8.0,10,540,8.0,0.0,8.0,8
20,0.0,12,180,0.0,0.0,0.0,6
8,5.0,7,365,5.0,0.0,5.0,6
8,0.0,6,255,0.0,0.0,0.0,6
2,2.0,6,300,2.0,0.0,2.0,6
1,0.0,3,730,0.0,0.0,0.0,6
1,1.0,3,90,1.0,0.0,1.0,6
9,19.0,12,658,15.0,1.25,19.0,19
23,2.0,3,16,6.0,0.0,2.0,3
8,0.0,4,189,0.0,0.0,0.0,6
19,9.0,12,150,9.0,0.0,9.0,9
2,19.0,16,320,15.0,1.25,19.0,19
9,2.0,6,876,2.0,0.0,2.0,6
8,3.0,6,630,2.0,1.25,3.0,8
10,70.0,6,657,56.0,1.25,70.0,70
25,13.0,18,658,13.0,0.0,13.0,13
21,0.0,6,90,0.0,0.0,0.0,3
23,2.0,3,13,9.0,0.0,2.0,3
8,4.0,4,654,3.0,1.25,4.0,8
23,0.0,4,150,0.0,0.0,0.0,3
20,6.0,11,35,18.0,0.0,6.0,6
3,8.0,12,240,8.0,0.0,8.0,8
14,9.0,10,657,9.0,0.0,9.0,9
1,0.0,3,329,0.0,0.0,0.0,6
28,3.0,3,105,3.0,0.0,3.0,3
5,1.0,3,90,2.0,0.0,1.0,6
20,22.0,60,326,22.0,0.0,22.0,22
2,6.0,6,120,6.0,0.0,6.0,6
9,0.0,4,658,0.0,0.0,0.0,6
8,9.0,11,644,9.0,0.0,9.0,9
9,4.0,6,660,4.0,0.0,4.0,6
1,3.0,6,1095,5.0,0.0,3.0,6
2,30.0,20,236,24.0,1.25,30.0,30
8,2.0,4,529,2.0,0.0,2.0,6
19,1.0,6,650,1.0,0.0,1.0,6
1,0.0,3,9999,0.0,1.25,0.0,8
2,1.0,4,320,1.0,1.25,1.0,8
5,4.0,3,292,3.0,1.25,4.0,8
9,0.0,6,658,0.0,1.25,0.0,8
8,1.0,9,240,1.0,0.0,1.0,6
19,1.0,6,309,1.0,0.0,1.0,6
20,16.0,20,180,13.0,1.25,16.0,16
3,7.0,6,217,7.0,0.0,7.0,7
19,2.0,6,365,2.0,0.0,2.0,6
9,4.0,4,658,4.0,0.0,4.0,6
6,13.0,26,841,13.0,0.0,13.0,13
8,32.0,12,313,32.0,0.0,32.0,32
23,4.0,6,180,4.0,0.0,4.0,3
2,4.0,4,300,4.0,0.0,4.0,6
19,3.0,6,257,3.0,0.0,3.0,6
2,6.0,36,365,5.0,1.25,6.0,8
1,1.0,6,328,1.0,0.0,1.0,6
10,0.0,4,658,0.0,0.0,0.0,6
11,0.0,2,658,0.04,0.0,0.0,6
28,14.0,10,150,14.0,0.0,14.0,14
28,9.0,8,195,9.0,0.0,9.0,9
1,0.0,3,240,0.0,0.0,0.0,6
28,1.0,4,68,2.0,0.0,1.0,3
1,2.0,3,365,3.0,0.0,2.0,6
19,61.0,60,90,79.0,1.25,61.0,66
19,6.0,6,658,6.0,0.0,6.0,6
28,5.0,4,270,5.0,0.0,5.0,6
19,3.0,5,275,3.0,0.0,3.0,6
23,4.0,3,18,11.0,0.0,4.0,3
2,16.0,20,365,13.0,1.25,16.0,16
5,2.0,3,261,2.0,0.0,2.0,6
28,7.0,6,120,7.0,0.0,7.0,7
19,0.0,6,800,0.0,0.0,0.0,6
10,1.0,6,658,1.0,0.0,1.0,6
9,0.0,8,1095,0.0,0.0,0.0,6
8,4.0,6,285,4.0,0.0,4.0,6
27,1.0,6,690,1.0,0.0,1.0,3
19,0.0,4,292,0.0,0.0,0.0,6
2,13.0,20,380,13.0,0.0,13.0,13
5,3.0,9,180,3.0,0.0,3.0,6
1,2.0,3,1095,3.0,0.0,2.0,6
8,1.0,4,365,1.0,0.0,1.0,6
1,0.0,3,1277,0.0,0.0,0.0,6
23,37.0,25,10,157.0,0.0,37.0,37
28,0.0,4,270,0.0,0.0,0.0,6
10,8.0,6,658,6.0,1.25,8.0,8
1,4.0,6,180,6.0,0.0,4.0,4
3,3.0,4,275,3.0,0.0,3.0,6
22,1.0,3,120,1.0,0.0,1.0,3
19,3.0,6,255,2.0,1.25,3.0,8
8,0.0,4,463,0.0,0.0,0.0,6
3,2.0,4,90,3.0,0.0,2.0,6
10,0.0,7,1460,0.0,1.25,0.0,8
6,15.0,18,975,12.0,1.25,15.0,15
28,0.0,6,450,0.0,0.0,0.0,6
8,8.0,14,656,6.0,1.25,8.0,8
8,9.0,6,365,9.0,0.0,9.0,9
8,5.0,4,637,5.0,0.0,5.0,6
5,2.0,4,655,2.0,0.0,2.0,6
9,10.0,4,658,8.0,1.25,10.0,10
19,0.0,2,365,0.0,0.0,0.0,6
28,2.0,4,360,2.0,0.0,2.0,6
1,1.0,3,365,1.0,0.0,1.0,6
20,13.0,12,180,10.0,1.25,13.0,13
3,3.0,4,683,3.0,0.0,3.0,6
19,9.0,24,580,9.0,0.0,9.0,9
23,1.0,3,117,1.0,0.0,1.0,3
8,5.0,6,861,5.0,0.0,5.0,6
5,1.0,12,205,1.0,0.0,1.0,6
5,11.0,8,584,11.0,0.0,11.0,11
23,105.0,12,219,105.0,0.0,105.0,105
12,15.0,60,365,15.0,0.0,15.0,15
19,0.0,4,657,0.0,0.0,0.0,6
5,0.0,12,300,0.0,0.0,0.0,6
8,7.0,10,365,7.0,0.0,7.0,7
28,15.0,10,75,23.0,0.0,15.0,15
2,11.0,28,300,11.0,0.0,11.0,11
5,1.0,3,90,1.0,0.0,1.0,6
2,1.0,2,294,1.0,0.0,1.0,6
28,8.0,12,16,25.0,0.0,8.0,8
20,5.0,6,242,4.0,1.25,5.0,8
10,1.0,6,1277,1.0,1.25,1.0,8
19,0.0,2,365,0.0,0.0,0.0,6
28,1.0,4,270,1.0,0.0,1.0,6
19,0.0,6,120,0.0,0.0,0.0,3
1,1.0,3,329,2.0,0.0,1.0,6
5,3.0,12,360,3.0,0.0,3.0,6
19,8.0,6,13,33.0,0.0,8.0,8
9,8.0,6,657,8.0,0.0,8.0,8
5,4.0,9,480,4.0,0.0,4.0,6
6,45.0,47,355,45.0,0.0,45.0,45
1,23.0,8,180,22.0,1.25,23.0,19
9,0.0,4,657,0.0,0.0,0.0,6
2,2.0,2,256,2.0,0.0,2.0,6
22,6.0,4,562,6.0,0.0,6.0,6
21,7.0,4,90,10.0,0.0,7.0,7
28,23.0,20,37,70.0,0.0,23.0,23
28,6.0,8,150,6.0,0.0,6.0,6
8,0.0,6,90,0.0,0.0,0.0,6
28,12.0,6,75,18.0,0.0,12.0,12
9,4.0,6,657,4.0,0.0,4.0,6
28,2.0,4,182,2.0,0.0,2.0,6
28,1.0,6,203,1.0,0.0,1.0,3
1,1.0,3,365,2.0,0.0,1.0,6
28,5.0,6,180,5.0,0.0,5.0,6
5,4.0,12,300,4.0,0.0,4.0,6
20,2.0,6,300,2.0,0.0,2.0,6
1,0.0,3,365,0.0,0.0,0.0,6
25,28.0,22,658,28.0,0.0,28.0,28
3,10.0,10,588,10.0,0.0,10.0,10
9,7.0,6,766,7.0,0.0,7.0,7
23,15.0,7,15,44.0,0.0,15.0,15
3,4.0,6,140,4.0,0.0,4.0,6
20,13.0,13,319,10.0,1.25,13.0,13
19,0.0,2,657,0.0,0.0,0.0,6
19,1.0,6,766,1.0,0.0,1.0,6
3,4.0,6,168,4.0,0.0,4.0,6
2,5.0,6,270,4.0,1.25,5.0,8
1,0.0,4,360,0.0,0.0,0.0,6
10,3.0,10,658,3.0,0.0,3.0,6
23,2.0,3,19,7.0,0.0,2.0,3
20,1.0,6,238,1.0,0.0,1.0,6
8,23.0,34,425,23.0,0.0,23.0,23
2,11.0,20,189,9.0,1.25,11.0,11
1,0.0,4,240,0.0,0.0,0.0,6
1,1.0,3,1825,1.0,0.0,1.0,6
27,4.0,6,690,4.0,0.0,4.0,3
5,4.0,3,275,4.0,0.0,4.0,6
8,1.0,4,464,1.0,0.0,1.0,6
28,2.0,4,130,2.0,0.0,2.0,6
8,2.0,6,584,2.0,0.0,2.0,6
9,1.0,4,657,1.0,0.0,1.0,6
5,0.0,2,504,0.0,0.0,0.0,6
28,2.0,6,30,5.0,0.0,2.0,3
23,4.0,5,162,3.0,1.25,4.0,4
2,4.0,6,312,4.0,0.0,4.0,6
1,4.0,6,178,6.0,0.0,4.0,4
9,9.0,12,365,7.0,1.25,9.0,9
3,1.0,4,322,1.0,1.25,1.0,8
9,5.0,8,365,5.0,0.0,5.0,6
2,3.0,4,594,3.0,0.0,3.0,6
19,8.0,12,220,8.0,0.0,8.0,8
1,19.0,19,329,30.0,0.0,19.0,20
3,26.0,38,159,26.0,0.0,26.0,26
1,13.0,14,240,20.0,0.0,13.0,13
19,2.0,6,256,2.0,0.0,2.0,6
19,0.0,3,365,0.0,0.0,0.0,6
5,1.0,2,129,1.0,0.0,1.0,6
28,1.0,4,360,1.0,0.0,1.0,3
5,1.0,3,100,1.0,0.0,1.0,6
20,4.0,6,260,4.0,0.0,4.0,6
2,5.0,6,183,5.0,0.0,5.0,6
1,0.0,3,2190,0.0,0.0,0.0,6
2,1.0,6,365,1.0,1.25,1.0,8
5,0.0,3,255,0.0,0.0,0.0,6
8,0.0,9,180,0.0,1.25,0.0,8
14,8.0,12,657,8.0,0.0,8.0,8
19,3.0,10,17,8.0,0.0,3.0,3
28,4.0,4,165,4.0,0.0,4.0,3
3,3.0,10,320,3.0,0.0,3.0,6
19,2.0,5,34,7.0,0.0,2.0,3
21,0.0,2,730,0.0,0.0,0.0,3
10,4.0,6,1277,3.0,1.25,4.0,8
23,21.0,10,165,21.0,0.0,21.0,21
20,0.0,6,200,0.0,0.0,0.0,6
8,30.0,7,511,30.0,0.0,30.0,30
8,4.0,11,902,4.0,0.0,4.0,6
8,226.0,28,1795,173.0,0.0,226.0,173
28,5.0,4,346,5.0,0.0,5.0,3
1,1.0,3,328,2.0,0.0,1.0,6
3,6.0,40,365,6.0,0.0,6.0,6
10,7.0,6,700,7.0,0.0,7.0,7
28,2.0,4,500,2.0,0.0,2.0,6
3,13.0,24,81,19.0,0.0,13.0,13
8,4.0,6,431,4.0,0.0,4.0,6
8,8.0,4,180,8.0,0.0,8.0,8
14,21.0,20,2190,17.0,1.25,21.0,21
28,14.0,64,10,58.0,0.0,14.0,14
23,10.0,15,14,44.0,0.0,10.0,10
20,10.0,5,219,8.0,1.25,10.0,10
23,5.0,8,25,15.0,0.0,5.0,3
19,1.0,4,365,1.0,1.25,1.0,8
3,10.0,12,150,8.0,1.25,10.0,10
19,1.0,12,180,1.0,0.0,1.0,6
5,5.0,3,432,4.0,1.25,5.0,8
10,0.0,4,1825,0.0,0.0,0.0,6
8,9.0,15,300,9.0,0.0,9.0,9
1,32.0,18,255,47.0,0.0,32.0,31
8,2.0,6,292,2.0,0.0,2.0,6
8,22.0,40,255,22.0,0.0,22.0,22
10,0.0,4,657,0.0,0.0,0.0,6
3,2.0,6,730,2.0,0.0,2.0,6
8,1.0,4,640,1.0,0.0,1.0,6
2,0.0,2,120,0.0,0.0,0.0,6
8,0.0,10,1825,0.0,0.0,0.0,6
14,4.0,10,658,4.0,0.0,4.0,6
20,3.0,12,255,2.0,1.25,3.0,8
1,1.0,3,1825,2.0,0.0,1.0,6
9,5.0,6,766,5.0,0.0,5.0,6
1,0.0,6,1095,0.0,0.0,0.0,6
2,4.0,6,210,4.0,0.0,4.0,6
28,0.0,6,200,0.0,0.0,0.0,6
1,1.0,3,900,2.0,0.0,1.0,6
6,0.0,16,180,0.0,0.0,0.0,6
2,3.0,4,140,2.0,1.25,3.0,8
5,0.0,3,210,0.0,0.0,0.0,6
6,9.0,9,456,7.0,1.25,9.0,9
28,23.0,26,51,34.0,0.0,23.0,23
9,15.0,8,658,12.0,1.25,15.0,15
28,3.0,3,75,4.0,0.0,3.0,6
23,14.0,5,120,14.0,0.0,14.0,14
9,3.0,8,730,3.0,0.0,3.0,6
23,3.0,4,20,9.0,0.0,3.0,3
23,6.0,6,9,24.0,0.0,6.0,6
5,1.0,3,230,1.0,0.0,1.0,6
5,12.0,20,238,12.0,0.0,12.0,12
8,15.0,5,720,12.0,1.25,15.0,15
10,5.0,10,1095,5.0,0.0,5.0,6
2,3.0,6,444,3.0,0.0,3.0,6
9,0.0,6,432,0.0,1.25,0.0,8
9,5.0,4,756,5.0,0.0,5.0,6
10,5.0,6,504,4.0,1.25,5.0,8
23,5.0,10,60,8.0,0.0,5.0,3
28,5.0,8,180,5.0,0.0,5.0,6
5,3.0,7,180,2.0,1.25,3.0,8
1,5.0,6,329,8.0,0.0,5.0,5
22,5.0,11,486,5.0,0.0,5.0,3
1,0.0,6,1460,0.0,0.0,0.0,6
28,0.0,4,135,0.0,0.0,0.0,3
8,0.0,6,1000,0.0,0.0,0.0,6
1,0.0,3,365,0.0,0.0,0.0,6
14,2.0,5,365,2.0,0.0,2.0,6
2,43.0,25,841,43.0,0.0,43.0,43
14,2.0,16,657,2.0,0.0,2.0,6
20,31.0,7,120,25.0,1.25,31.0,31
19,0.0,6,658,0.0,1.25,0.0,8
19,2.0,5,90,3.0,0.0,2.0,3
1,0.0,3,365,0.0,0.0,0.0,6
2,0.0,6,256,0.0,1.25,0.0,8
20,22.0,12,264,22.0,0.0,22.0,22
3,21.0,12,231,21.0,0.0,21.0,21
22,5.0,4,343,5.0,0.0,5.0,3
8,3.0,4,656,3.0,0.0,3.0,6
28,8.0,6,900,8.0,0.0,8.0,8
20,13.0,6,288,13.0,0.0,13.0,13
1,0.0,3,730,0.0,0.0,0.0,6
23,0.0,3,14,0.0,0.0,0.0,3
20,3.0,8,150,3.0,0.0,3.0,6
5,0.0,3,600,0.0,0.0,0.0,6
2,0.0,2,250,0.0,0.0,0.0,6
19,3.0,5,60,4.0,0.0,3.0,3
5,4.0,6,60,6.0,0.0,4.0,6
2,47.0,24,365,47.0,0.0,47.0,47
10,0.0,6,658,0.0,1.25,0.0,8
21,1.0,5,30,3.0,0.0,1.0,3
10,9.0,9,657,9.0,0.0,9.0,9
28,12.0,6,135,12.0,0.0,12.0,12
21,1.0,6,180,1.0,0.0,1.0,3
9,8.0,7,658,6.0,1.25,8.0,8
6,5.0,7,535,5.0,0.0,5.0,6
1,1.0,6,180,2.0,0.0,1.0,6
5,1.0,3,365,1.0,0.0,1.0,6
9,0.0,4,1532,0.0,1.25,0.0,8
9,10.0,6,766,8.0,1.25,10.0,10
19,0.0,3,90,0.0,0.0,0.0,3
20,2.0,12,180,2.0,0.0,2.0,6
20,2.0,10,36,6.0,0.0,2.0,3
21,0.0,3,128,0.0,0.0,0.0,3
2,30.0,30,161,24.0,1.25,30.0,30
23,5.0,3,274,4.0,1.25,5.0,4
21,0.0,3,287,0.0,0.0,0.0,3
23,3.0,5,40,9.0,0.0,3.0,3
1,2.0,3,352,3.0,0.0,2.0,6
28,7.0,6,120,7.0,0.0,7.0,7
4,3.0,18,313,2.0,1.25,3.0,8
1,0.0,3,329,0.0,0.0,0.0,6
3,1.0,4,634,1.0,0.0,1.0,6
28,3.0,6,150,3.0,0.0,3.0,6
10,0.0,4,324,0.0,0.0,0.0,6
2,0.0,2,270,0.0,1.25,0.0,8
2,10.0,14,126,8.0,1.25,10.0,10
19,8.0,4,256,8.0,0.0,8.0,8
28,0.0,6,450,0.0,0.0,0.0,6
2,3.0,6,300,2.0,1.25,3.0,8
19,5.0,24,157,5.0,0.0,5.0,6
28,8.0,10,135,8.0,0.0,8.0,8
3,20.0,10,270,16.0,1.25,20.0,20
1,0.0,4,329,0.0,0.0,0.0,6
1,1.0,3,365,1.0,0.0,1.0,6
8,6.0,4,120,5.0,1.25,6.0,8
21,1.0,3,36,3.0,0.0,1.0,3
19,1.0,6,15,2.0,0.0,1.0,3
2,6.0,20,158,6.0,0.0,6.0,6
23,10.0,5,19,30.0,0.0,10.0,10
1,0.0,3,730,0.0,0.0,0.0,6
1,3.0,3,365,5.0,0.0,3.0,6
4,4.0,6,299,4.0,0.0,4.0,6
23,1.0,3,14,6.0,0.0,1.0,3
1,2.0,3,329,3.0,0.0,2.0,6
2,33.0,60,203,33.0,0.0,33.0,33
28,1.0,4,135,1.0,0.0,1.0,6
1,1.0,6,328,1.0,0.0,1.0,6
20,4.0,14,730,4.0,0.0,4.0,6
28,0.0,3,17,1.0,0.0,0.0,3
1,1.0,3,329,1.0,0.0,1.0,6
14,6.0,10,1095,6.0,0.0,6.0,6
28,9.0,8,28,27.0,0.0,9.0,9
10,0.0,4,1277,0.0,0.0,0.0,6
8,5.0,4,248,4.0,1.25,5.0,8
2,2.0,4,295,2.0,0.0,2.0,6
5,4.0,3,150,4.0,0.0,4.0,6
3,25.0,24,240,25.0,0.0,25.0,25
9,2.0,6,304,2.0,0.0,2.0,6
23,0.0,25,15,0.0,0.0,0.0,3
9,24.0,24,658,19.0,1.25,24.0,24
9,3.0,4,658,3.0,0.0,3.0,6
2,4.0,6,252,3.0,1.25,4.0,8
10,3.0,6,767,2.0,1.25,3.0,8
20,4.0,12,280,4.0,0.0,4.0,6
10,8.0,4,299,6.0,1.25,8.0,8
20,16.0,20,180,16.0,0.0,16.0,16
10,1.0,4,658,1.0,0.0,1.0,6
9,1.0,6,730,1.0,0.0,1.0,6
8,9.0,16,984,9.0,0.0,9.0,9
12,26.0,10,466,21.0,1.25,26.0,26
8,1.0,4,305,1.0,0.0,1.0,6
19,0.0,4,365,0.0,0.0,0.0,6
28,20.0,26,120,20.0,0.0,20.0,20
3,5.0,4,256,4.0,1.25,5.0,8
6,1.0,4,470,1.0,0.0,1.0,6
2,13.0,20,309,10.0,1.25,13.0,13
2,9.0,5,308,9.0,0.0,9.0,9
2,2.0,4,360,2.0,0.0,2.0,6
23,1.0,3,150,1.0,0.0,1.0,3
2,7.0,8,240,7.0,0.0,7.0,7
20,3.0,6,180,2.0,1.25,3.0,8
14,70.0,40,658,57.0,1.25,70.0,71
10,8.0,8,658,6.0,1.25,8.0,8
19,3.0,12,657,3.0,0.0,3.0,6
25,4.0,5,658,4.0,0.0,4.0,6
5,7.0,10,322,7.0,0.0,7.0,7
14,25.0,40,658,25.0,0.0,25.0,25
19,0.0,6,584,0.0,0.0,0.0,6
2,6.0,8,256,6.0,0.0,6.0,6
4,7.0,6,401,7.0,0.0,7.0,7
8,4.0,4,180,4.0,0.0,4.0,6
5,0.0,7,301,0.0,0.0,0.0,6
8,28.0,9,929,22.0,1.25,28.0,28
1,10.0,12,180,15.0,0.0,10.0,10
21,18.0,24,55,27.0,0.0,18.0,18
4,4.0,6,465,3.0,1.25,4.0,8
10,7.0,4,658,7.0,0.0,7.0,7
19,7.0,8,18,22.0,0.0,7.0,7
3,15.0,12,270,12.0,1.25,15.0,15
20,5.0,12,365,4.0,1.25,5.0,8
2,12.0,20,267,12.0,0.0,12.0,12
4,6.0,6,585,6.0,0.0,6.0,6
1,3.0,6,317,5.0,0.0,3.0,6
22,15.0,12,378,12.0,1.25,15.0,15
28,17.0,12,340,17.0,0.0,17.0,17
1,3.0,6,365,4.0,0.0,3.0,6
28,4.0,4,360,3.0,1.25,4.0,4
3,2.0,2,210,2.0,0.0,2.0,6
22,6.0,8,160,6.0,0.0,6.0,6
28,3.0,3,60,5.0,0.0,3.0,3
28,5.0,8,135,4.0,1.25,5.0,4
9,3.0,6,766,2.0,1.25,3.0,8
28,3.0,6,423,3.0,0.0,3.0,6
1,1.0,3,329,1.0,0.0,1.0,6
28,2.0,6,120,2.0,0.0,2.0,6
10,1.0,6,766,1.0,1.25,1.0,8
23,3.0,3,18,9.0,0.0,3.0,3
5,5.0,4,974,5.0,0.0,5.0,6
10,14.0,14,766,11.0,1.25,14.0,14
10,0.0,6,756,0.0,0.0,0.0,6
8,2.0,6,120,2.0,0.0,2.0,6
4,2.0,11,240,2.0,0.0,2.0,6
2,10.0,6,265,8.0,1.25,10.0,10
2,3.0,6,279,3.0,0.0,3.0,6
3,7.0,8,150,7.0,0.0,7.0,7
23,3.0,3,22,8.0,0.0,3.0,3
10,8.0,9,658,8.0,0.0,8.0,8
2,20.0,6,300,20.0,0.0,20.0,20
23,4.0,3,25,13.0,0.0,4.0,3
2,4.0,4,189,4.0,0.0,4.0,6
3,4.0,6,256,4.0,0.0,4.0,6
28,3.0,6,202,3.0,0.0,3.0,3
21,1.0,6,90,1.0,0.0,1.0,3
18,0.0,6,300,0.0,0.0,0.0,3
23,11.0,6,126,9.0,1.25,11.0,11
23,4.0,3,15,11.0,0.0,4.0,3
1,0.0,3,730,0.0,0.0,0.0,6
8,0.0,9,1460,0.0,0.0,0.0,6
8,9.0,13,650,9.0,0.0,9.0,9
19,1.0,4,365,1.0,0.0,1.0,6
5,0.0,4,326,0.0,1.25,0.0,8
27,13.0,3,26,38.66,0.0,13.0,13
28,0.0,4,360,0.0,0.0,0.0,6
2,1.0,4,185,1.0,0.0,1.0,6
10,4.0,7,658,4.0,0.0,4.0,6
19,0.0,6,335,0.0,0.0,0.0,6
19,0.0,6,511,0.0,0.0,0.0,6
5,2.0,2,365,2.0,0.0,2.0,6
19,1.0,6,658,1.0,0.0,1.0,6
28,5.0,4,270,5.0,0.0,5.0,6
5,0.0,3,300,0.0,0.0,0.0,6
9,1.0,4,864,1.0,1.25,1.0,8
2,35.0,47,161,35.0,0.0,35.0,35
8,0.0,8,70,0.0,0.0,0.0,6
10,15.0,9,658,15.0,0.0,15.0,15
2,31.0,30,330,25.0,1.25,31.0,31
23,8.0,4,210,6.0,1.25,8.0,8
2,0.0,2,255,0.0,0.0,0.0,6
19,6.0,6,650,6.0,0.0,6.0,6
9,2.0,6,730,2.0,0.0,2.0,6
10,5.0,7,354,5.0,0.0,5.0,6
3,5.0,6,180,5.0,0.0,5.0,6
1,0.0,4,329,0.0,0.0,0.0,6
8,5.0,7,651,4.0,1.25,5.0,8
9,2.0,6,768,2.0,0.0,2.0,6
5,0.0,6,408,0.0,0.0,0.0,6
5,1.0,6,90,1.0,0.0,1.0,6
8,5.0,5,650,4.0,1.25,5.0,8
19,11.0,15,170,11.0,0.0,11.0,11
8,8.0,8,499,8.0,0.0,8.0,8
8,0.0,6,1489,0.0,0.0,0.0,6
19,0.0,6,340,0.0,0.0,0.0,6
1,1.0,4,730,1.0,0.0,1.0,6
1,35.0,4,1835,53.0,0.0,35.0,35
19,1.0,6,546,1.0,0.0,1.0,6
9,3.0,6,365,3.0,0.0,3.0,6
23,13.0,10,12,54.0,0.0,13.0,13
10,3.0,6,504,2.0,1.25,3.0,8
19,1.0,6,90,1.0,0.0,1.0,3
8,3.0,4,588,2.0,1.25,3.0,8
8,1.0,6,325,1.0,0.0,1.0,6
28,0.0,4,105,0.0,0.0,0.0,6
19,8.0,11,458,8.0,0.0,8.0,8
19,1.0,6,397,1.0,0.0,1.0,6
5,13.0,18,229,10.0,1.25,13.0,13
28,0.0,12,135,0.0,0.0,0.0,6
23,4.0,3,165,4.0,0.0,4.0,3
27,2.0,1,120,2.8,0.0,2.0,3
8,0.0,12,527,0.0,0.0,0.0,6
8,5.0,20,365,5.0,0.0,5.0,6
23,8.0,16,25,19.0,1.25,8.0,8
8,12.0,6,120,12.0,0.0,12.0,12
10,1.0,4,1095,1.0,0.0,1.0,6
23,8.0,12,23,23.0,0.0,8.0,8
8,2.0,7,284,2.0,0.0,2.0,6
5,10.0,12,612,10.0,0.0,10.0,10
19,4.0,6,730,4.0,0.0,4.0,6
23,9.0,4,18,28.0,0.0,9.0,9
9,39.0,48,864,31.0,1.25,39.0,39
1,0.0,6,365,0.0,0.0,0.0,6
28,62.0,44,135,62.0,0.0,62.0,62
3,16.0,12,365,16.0,0.0,16.0,16
8,4.0,4,879,3.0,1.25,4.0,8
3,1.0,2,256,1.0,1.25,1.0,8
1,0.0,3,360,0.0,0.0,0.0,6
19,0.0,2,292,0.0,0.0,0.0,6
22,20.0,10,219,20.0,0.0,20.0,20
28,2.0,4,200,2.0,0.0,2.0,6
28,3.0,4,270,3.0,0.0,3.0,6
1,0.0,3,329,0.0,0.0,0.0,6
1,1.0,3,360,1.0,0.0,1.0,6
21,2.0,10,30,6.0,0.0,2.0,3
20,0.0,12,300,0.0,0.0,0.0,6
9,2.0,7,657,2.0,0.0,2.0,6
5,1.0,3,467,1.0,0.0,1.0,6
21,26.0,30,32,79.0,0.0,26.0,26
28,3.0,4,120,3.0,0.0,3.0,6
9,1.0,4,657,1.0,0.0,1.0,6
1,0.0,3,365,0.0,0.0,0.0,6
1,1.0,3,329,2.0,0.0,1.0,6
20,2.0,6,558,2.0,0.0,2.0,6
19,0.0,24,365,0.0,0.0,0.0,6
